Cash flow statement:
ts_code  ann_date f_ann_date  end_date comp_type report_type end_type    net_profit finan_exp c_fr_sale_sg recp_tax_rends  n_depos_incr_fi  n_incr_loans_cb  n_inc_borr_oth_fi prem_fr_orig_contr n_incr_insured_dep n_reinsur_prem n_incr_disp_tfa  ifc_cash_incr n_incr_disp_faas  n_incr_loans_oth_bank  n_cap_incr_repur  c_fr_oth_operate_a  c_inf_fr_operate_a c_paid_goods_s  c_paid_to_for_empl  c_paid_for_taxes  n_incr_clt_loan_adv  n_incr_dep_cbob c_pay_claims_orig_inco  pay_handling_chrg pay_comm_insur_plcy  oth_cash_pay_oper_act  st_cash_out_act  n_cashflow_act  oth_recp_ral_inv_act  c_disp_withdrwl_invest  c_recp_return_invest  n_recp_disp_fiolta n_recp_disp_sobu  stot_inflows_inv_act  c_pay_acq_const_fiolta  c_paid_invest n_disp_subs_oth_biz  oth_pay_ral_inv_act n_incr_pledge_loan  stot_out_inv_act  n_cashflow_inv_act c_recp_borrow  proc_issue_bonds  oth_cash_recp_ral_fnc_act  stot_cash_in_fnc_act  free_cashflow  c_prepay_amt_borr  c_pay_dist_dpcp_int_exp incl_dvd_profit_paid_sc_ms  oth_cashpay_ral_fnc_act  stot_cashout_fnc_act  n_cash_flows_fnc_act  eff_fx_flu_cash  n_incr_cash_cash_equ  c_cash_equ_beg_period  c_cash_equ_end_period c_recp_cap_contrib incl_cash_rec_saims uncon_invest_loss  prov_depr_assets  depr_fa_coga_dpba  amort_intang_assets  lt_amort_deferred_exp  decr_deferred_exp  incr_acc_exp  loss_disp_fiolta loss_scr_fa   loss_fv_chg  invest_loss  decr_def_inc_tax_assets  incr_def_inc_tax_liab decr_inventories  decr_oper_payable  incr_oper_payable      others  im_net_cashflow_oper_act conv_debt_into_cap conv_copbonds_due_within_1y fa_fnc_leases  im_n_incr_cash_equ  net_dism_capital_add net_cash_rece_sec  credit_impa_loss  use_right_asset_dep oth_loss_asset  end_bal_cash  beg_bal_cash  end_bal_cash_equ  beg_bal_cash_equ update_flag
10  000001.SZ  20230309   20230309  20221231         2           1        4  4.551600e+10      None         None           None     4.111570e+11     4.331700e+10                NaN               None               None           None            None   2.488910e+11             None           2.073700e+10               NaN        5.367600e+10        7.777780e+11           None        2.174100e+10      2.771300e+10         3.329030e+11     2.140500e+10                   None       7.437300e+10                None           3.003600e+10     6.432060e+11    1.345720e+11                   NaN            4.919140e+11          3.842700e+10         291000000.0             None          5.306320e+11            3.543000e+09   5.092310e+11                None                  NaN               None      5.127740e+11        1.785800e+10          None               NaN                        NaN          6.791890e+11            NaN       8.259060e+11             1.188700e+10                       None                      NaN          8.405940e+11         -1.614050e+11     6.079000e+09         -2.896000e+09           2.252220e+11           2.223260e+11               None                None              None     -3.500000e+07       1.957000e+09         7.320000e+08            711000000.0                NaN           NaN      -101000000.0        None -4.482000e+09          NaN            -4.648000e+09                    NaN             None      -4.630150e+11       4.903770e+11         NaN              1.345720e+11               None                        None          None       -2.896000e+09          5.269700e+10              None      7.134100e+10         2.650000e+09           None  4.162000e+09  3.685000e+09      2.181640e+11      2.215370e+11           1
11  000001.SZ  20230309   20230309  20221231         2           1        4  4.551600e+10      None         None           None     4.111570e+11     4.331700e+10                NaN               None               None           None            None   2.488910e+11             None           2.073700e+10               NaN        5.367600e+10        7.777780e+11           None        2.174100e+10      2.771300e+10         3.329030e+11     2.140500e+10                   None       7.437300e+10                None           3.003600e+10     6.432060e+11    1.345720e+11                   NaN            4.919140e+11          3.842700e+10         291000000.0             None          5.306320e+11            3.543000e+09   5.092310e+11                None                  NaN               None      5.127740e+11        1.785800e+10          None               NaN                        NaN          6.791890e+11   2.080966e+10       8.259060e+11             1.188700e+10                       None                      NaN          8.405940e+11         -1.614050e+11     6.079000e+09         -2.896000e+09           2.252220e+11           2.223260e+11               None                None              None     -3.500000e+07       1.957000e+09         7.320000e+08            711000000.0                NaN           NaN      -101000000.0        None -4.482000e+09          NaN            -4.648000e+09                    NaN             None      -4.630150e+11       4.903770e+11         NaN              1.345720e+11               None                        None          None       -2.896000e+09          5.269700e+10              None      7.134100e+10         2.650000e+09           None  4.162000e+09  3.685000e+09      2.181640e+11      2.215370e+11           0
12  000001.SZ  20221025   20221025  20220930         2           1        3           NaN      None         None           None     2.098170e+11     1.458300e+10                NaN               None               None           None            None   1.855180e+11             None           6.998000e+09               NaN        8.563900e+10        5.484760e+11           None        1.737700e+10      2.123000e+10         2.845930e+11     1.523000e+10                   None       5.183600e+10                None           1.983100e+10     4.559580e+11    9.251800e+10                   NaN            3.855440e+11          2.871900e+10         224000000.0             None          4.144870e+11            2.435000e+09   3.984380e+11                None                  NaN               None      4.008730e+11        1.361400e+10          None               NaN                        NaN          5.187550e+11            NaN       6.522110e+11             9.841000e+09                       None                      NaN          6.641380e+11         -1.453830e+11     5.746000e+09         -3.350500e+10           2.252220e+11           1.917170e+11               None                None              None               NaN                NaN                  NaN                    NaN                NaN           NaN               NaN        None           NaN          NaN                      NaN                    NaN             None                NaN                NaN         NaN                       NaN               None                        None          None                 NaN          4.586100e+10              None               NaN                  NaN           None           NaN           NaN               NaN               NaN           0
13  000001.SZ  20220818   20220818  20220630         2           1        2  2.208800e+10      None         None           None     2.981560e+11              NaN                NaN               None               None           None            None   1.238150e+11             None           8.954000e+09               NaN        6.301400e+10        5.231440e+11           None        1.308800e+10      1.637800e+10         1.952670e+11     1.377900e+10                   None       3.428800e+10                None           1.369000e+10     3.726610e+11    1.504830e+11                   NaN            2.676580e+11          2.021700e+10         104000000.0             None          2.879790e+11            6.160000e+08   2.980160e+11                None                  NaN               None      2.986320e+11       -1.065300e+10          None               NaN                        NaN          3.816130e+11  -7.429444e+10       5.354510e+11             5.288000e+09                       None                      NaN          5.420380e+11         -1.604250e+11     3.078000e+09         -1.751700e+10           2.252220e+11           2.077050e+11               None                None              None     -4.900000e+07       9.640000e+08         3.210000e+08            349000000.0                NaN           NaN       -55000000.0        None -3.248000e+09          NaN            -1.088000e+09                    NaN             None      -2.114200e+11       3.089230e+11         NaN              1.504830e+11               None                        None          None       -1.751700e+10          3.820200e+10              None               NaN                  NaN           None  3.596000e+09  3.685000e+09      2.041090e+11      2.215370e+11           1
14  000001.SZ  20220818   20220818  20220630         2           1        2  2.208800e+10      None         None           None     2.981560e+11              NaN                NaN               None               None           None            None   1.238150e+11             None           8.954000e+09               NaN        6.301400e+10        5.231440e+11           None        1.308800e+10      1.637800e+10         1.952670e+11     1.377900e+10                   None       3.428800e+10                None           1.369000e+10     3.726610e+11    1.504830e+11                   NaN            2.676580e+11          2.021700e+10         104000000.0             None          2.879790e+11            6.160000e+08   2.980160e+11                None                  NaN               None      2.986320e+11       -1.065300e+10          None               NaN                        NaN          3.816130e+11            NaN       5.354510e+11             5.288000e+09                       None                      NaN          5.420380e+11         -1.604250e+11     3.078000e+09         -1.751700e+10           2.252220e+11           2.077050e+11               None                None              None     -4.900000e+07       9.640000e+08         3.210000e+08            349000000.0                NaN           NaN       -55000000.0        None -3.248000e+09          NaN            -1.088000e+09                    NaN             None      -2.114200e+11       3.089230e+11         NaN              1.504830e+11               None                        None          None       -1.751700e+10          3.820200e+10              None               NaN                  NaN           None  3.596000e+09  3.685000e+09      2.041090e+11      2.215370e+11           0
15  000001.SZ  20220427   20220427  20220331         2           1        1           NaN      None         None           None     1.868200e+11     5.970100e+10                NaN               None               None           None            None   6.235700e+10             None           3.442000e+09               NaN        4.714600e+10        3.597150e+11           None        9.111000e+09      3.763000e+09         1.070360e+11     1.010800e+10                   None       1.661400e+10                None           5.025000e+09     2.125880e+11    1.471270e+11                   NaN            1.311680e+11          8.830000e+09          79000000.0             None          1.400770e+11            2.040000e+08   1.448300e+11                None                  NaN               None      1.450340e+11       -4.957000e+09          None      2.234440e+11                        NaN          2.234440e+11            NaN       2.817190e+11             3.030000e+09                       None                      NaN          2.853970e+11         -6.195300e+10    -4.770000e+08          7.974000e+10           2.252220e+11           3.049620e+11               None                None              None               NaN                NaN                  NaN                    NaN                NaN           NaN               NaN        None           NaN          NaN                      NaN                    NaN             None                NaN                NaN         NaN                       NaN               None                        None          None                 NaN          8.374000e+09              None               NaN                  NaN           None           NaN           NaN               NaN               NaN           0
16  000001.SZ  20220310   20220310  20211231         2           1        4  3.633600e+10      None         None           None     1.629320e+11     2.345200e+10                NaN               None               None           None            None   2.307190e+11             None           3.112000e+09               NaN        4.330500e+10        4.860480e+11           None        2.056000e+10      2.341100e+10         4.473890e+11              NaN                   None       7.044400e+10                None           3.923300e+10     6.787810e+11   -1.927330e+11                   NaN            4.831600e+11          3.601700e+10         559000000.0             None          5.197360e+11            6.614000e+09   5.535770e+11                None                  NaN               None      5.601910e+11       -4.045500e+10          None               NaN                        NaN          1.112799e+12   3.299308e+11       9.177400e+11             1.123700e+10                       None                      NaN          9.317350e+11          1.810640e+11    -1.604000e+09         -5.372800e+10           2.789500e+11           2.252220e+11               None                None              None      1.198000e+09       1.796000e+09         9.590000e+08            704000000.0                NaN           NaN        42000000.0        None -2.734000e+09          NaN            -1.143000e+09                    NaN             None      -5.009830e+11       2.077080e+11         NaN             -1.927330e+11               None                        None          None       -5.372800e+10          8.629000e+09              None      7.261900e+10         2.442000e+09           None  3.685000e+09  3.805000e+09      2.215370e+11      2.751450e+11           0
17  000001.SZ  20220310   20220310  20211231         2           1        4  3.633600e+10      None         None           None     1.629320e+11     2.345200e+10                NaN               None               None           None            None   2.307190e+11             None           3.112000e+09               NaN        4.330500e+10        4.860480e+11           None        2.056000e+10      2.341100e+10         4.473890e+11              NaN                   None       7.044400e+10                None           3.923300e+10     6.787810e+11   -1.927330e+11                   NaN            4.831600e+11          3.601700e+10         559000000.0             None          5.197360e+11            6.614000e+09   5.535770e+11                None                  NaN               None      5.601910e+11       -4.045500e+10          None               NaN                        NaN          1.112799e+12   3.299308e+11       9.177400e+11             1.123700e+10                       None                      NaN          9.317350e+11          1.810640e+11    -1.604000e+09         -5.372800e+10           2.789500e+11           2.252220e+11               None                None              None      1.198000e+09       1.796000e+09         9.590000e+08            704000000.0                NaN           NaN        42000000.0        None -2.734000e+09          NaN            -1.143000e+09                    NaN             None      -5.009830e+11       2.077080e+11         NaN             -1.927330e+11               None                        None          None       -5.372800e+10          8.629000e+09              None      7.261900e+10         2.442000e+09           None  3.685000e+09  3.805000e+09      2.215370e+11      2.751450e+11           1
18  000001.SZ  20211021   20211021  20210930         2           1        3           NaN      None         None           None     1.263140e+11     4.873800e+10                NaN               None               None           None            None   1.719510e+11             None           8.211000e+09               NaN        3.867900e+10        3.957200e+11           None        1.635000e+10      1.814700e+10         3.412940e+11              NaN                   None       5.085000e+10                None           2.897700e+10     5.215280e+11   -1.258080e+11                   NaN            3.575830e+11          2.507300e+10         533000000.0             None          3.831890e+11            5.933000e+09   4.070950e+11                None                  NaN               None      4.130280e+11       -2.983900e+10          None               NaN                        NaN          7.891200e+11            NaN       6.256910e+11             8.803000e+09                       None                      NaN          6.364930e+11          1.526270e+11    -1.142000e+09         -4.162000e+09           2.789500e+11           2.747880e+11               None                None              None               NaN                NaN                  NaN                    NaN                NaN           NaN               NaN        None           NaN          NaN                      NaN                    NaN             None                NaN                NaN         NaN                       NaN               None                        None          None                 NaN          1.580000e+08              None               NaN                  NaN           None           NaN           NaN               NaN               NaN           0
19  000001.SZ  20210820   20210820  20210630         2           1        2  1.758300e+10      None         None           None     1.028910e+11              NaN                NaN               None               None           None            None   1.146930e+11             None           1.173000e+09               NaN        3.751000e+10        2.562670e+11           None        1.235700e+10      1.349500e+10         2.276580e+11     1.350200e+10                   None       3.298400e+10                None           2.121600e+10     3.722390e+11   -1.159720e+11                   NaN            2.203870e+11          1.771300e+10         331000000.0             None          2.384310e+11            4.310000e+09   2.466270e+11                None                  NaN               None      2.509370e+11       -1.250600e+10          None               NaN                        NaN          5.227510e+11            NaN       3.642150e+11             8.506000e+09                       None                      NaN          3.740520e+11          1.486990e+11    -1.054000e+09          1.916700e+10           2.789500e+11           2.981170e+11               None                None              None      1.273000e+09       8.680000e+08         4.990000e+08            339000000.0                NaN           NaN        18000000.0        None -1.373000e+09          NaN            -4.620000e+08                    NaN             None      -2.425940e+11       7.526700e+10         NaN             -1.159720e+11               None                        None          None        1.916700e+10          7.745000e+09              None               NaN                  NaN           None  3.775000e+09  3.805000e+09      2.943420e+11      2.751450e+11           0
20  000001.SZ  20210421   20210421  20210331         2           1        1           NaN      None         None           None     7.549800e+10              NaN                NaN               None               None           None            None   5.761400e+10             None           7.009000e+09               NaN        3.361800e+10        2.009920e+11           None        8.617000e+09      2.705000e+09         1.212220e+11     1.510400e+10                   None       1.747800e+10                None           1.269700e+10     2.125450e+11   -1.155300e+10                   NaN            8.912500e+10          7.807000e+09          15000000.0             None          9.694700e+10            3.550000e+09   1.069090e+11                None                  NaN               None      1.104590e+11       -1.351200e+10          None      2.576250e+11                        NaN          2.576250e+11            NaN       2.252680e+11             2.112000e+09                       None               95000000.0          2.281360e+11          2.948900e+10     1.700000e+07          4.441000e+09           2.789500e+11           2.833910e+11               None                None              None               NaN                NaN                  NaN                    NaN                NaN           NaN               NaN        None           NaN          NaN                      NaN                    NaN             None                NaN                NaN         NaN                       NaN               None                        None          None                 NaN          1.677700e+10              None               NaN                  NaN           None           NaN           NaN               NaN               NaN           0
21  000001.SZ  20210202   20210202  20201231         2           1        4  2.892800e+10      None         None           None     3.356750e+11     1.101200e+10                NaN               None               None           None            None   2.184840e+11             None           2.044200e+10               NaN        4.699600e+10        6.536120e+11           None        1.782900e+10      2.452500e+10         4.056110e+11              NaN                   None       8.018500e+10                None           2.365700e+10     6.697730e+11   -1.616100e+10                   NaN            6.619670e+11          3.694200e+10         377000000.0             None          6.992860e+11            3.490000e+09   6.798520e+11                None                  NaN               None      6.833420e+11        1.594400e+10          None               NaN                        NaN          8.065700e+11   1.299762e+11       6.904000e+11             9.904000e+09                       None                      NaN          7.031690e+11          1.034010e+11    -3.292000e+09          9.989200e+10           1.790580e+11           2.789500e+11               None                None              None      8.070000e+08       1.531000e+09         1.059000e+09            630000000.0                NaN           NaN        26000000.0        None  7.160000e+08          NaN            -3.688000e+09                    NaN             None      -4.830760e+11       3.825150e+11         NaN             -1.616100e+10               None                        None          None        9.989200e+10                   NaN              None               NaN                  NaN           None  3.805000e+09  5.459000e+09      2.751450e+11      1.735990e+11           1
22  000001.SZ  20210202   20210202  20201231         2           1        4  2.892800e+10      None         None           None     3.356750e+11     1.101200e+10                NaN               None               None           None            None   2.184840e+11             None           2.044200e+10               NaN        4.699600e+10        6.536120e+11           None        1.782900e+10      2.452500e+10         4.056110e+11              NaN                   None       8.018500e+10                None           2.365700e+10     6.697730e+11   -1.616100e+10                   NaN            6.619670e+11          3.694200e+10         377000000.0             None          6.992860e+11            3.490000e+09   6.798520e+11                None                  NaN               None      6.833420e+11        1.594400e+10          None               NaN                        NaN          8.065700e+11   1.326392e+11       6.904000e+11             9.904000e+09                       None                      NaN          7.031690e+11          1.034010e+11    -3.292000e+09          9.989200e+10           1.790580e+11           2.789500e+11               None                None              None      8.070000e+08       1.531000e+09         1.059000e+09            630000000.0                NaN           NaN        26000000.0        None  7.160000e+08          NaN            -3.688000e+09                    NaN             None      -4.830760e+11       3.825150e+11         NaN             -1.616100e+10               None                        None          None        9.989200e+10                   NaN              None      6.961100e+10         2.663000e+09           None  3.805000e+09  5.459000e+09      2.751450e+11      1.735990e+11           0
